Pin,IP,Sequence,Subsequence,Field,Size,PerBit,LowLimit,HighLimit,ExpectedData,Equation,ItuffToken,PinFinderFormat
DDR1_DQ50,V0,training,external_dcc,dcactrl2tap,6,0,-64,64,-,-,Token1,-
DDR1_DQ50,V0,training,external_dcc,dcamodsel,3,0,-8,8,-,-,Token1,-
DDR1_DQ50,V0,training,external_dcc,dcsintfrz,1,0,-2,2,-,-,Token1,-
DDR1_DQ50,V0,training,external_dcc,delayout,10,0,-1024,1024,-,-,Token1,-
DDR1_DQ50,V0,training,external_dcc,clkdft,1,0,-2,2,-,-,Token1,-
DDR1_DQ50,V0,training,external_dcc,dftout,1,0,-2,2,-,-,Token1,-
DDR1_DQ50,V0,training,external_dcc,clkcal,1,0,-2,2,-,-,Token1,-
DDR1_DQ50,V0,training,fsm_status,state_fsm_busy_trigger,1,0,-,-,1,-,Token1,-
DDR1_DQ50,V0,training,fsm_status,state_idle_st_trigger,1,0,-,-,0,-,Token1,-
DDR1_DQ50,V0,training,fsm_status,state_fsm_busy_stop,1,0,-,-,0,-,Token1,-
DDR1_DQ50,V0,training,fsm_status,state_idle_st_stop,1,0,-,-,1,-,Token1,-
DDR1_DQ50,V0,training,qds_sloop,mdll_dline_setting_90,10,0,-1024,1024,-,-,Token1,-
DDR1_DQ50,V0,training,qds_sloop,mdll_dline_setting_270,10,0,-1024,1024,-,-,Token1,-
DDR1_DQ50,V0,training,qds_sloop,mdll_sum_result,0,0,-,-,-,mdll_dline_setting_90-external_dcc.clkdft,Token1,-
DDR1_DQ50,V0,training,qds_sloop,qls_dline_setting_90,9,0,-512,512,-,-,Token1,-
DDR1_DQ50,V0,training,qds_sloop,qls_dline_setting_270,9,0,-512,512,-,this-30,Token1,-
DDR1_DQ50,V0,training,lane_never_pass,C0,78,1,-,-,1,-,Token1,{TX|RX}_MDFI_<Die>_<Field>_DQ[$bit+2$]
DDR1_DQ50,V0,training,lane_never_pass,C1,54,1,-,-,1,-,Token1,{TX|RX}_MDFI_<Die>_<Field>_DQ[$bit$]
DDR1_DQ50,V0,training,lane_never_pass,C2,58,1,-,-,1,-,Token1,{TX|RX}_MDFI_<Die>_<Field>_DQ[$bit$]
DDR1_DQ50,V0,training,lane_never_pass,C3,57,1,-,-,1,-,Token1,{TX|RX}_MDFI_<Die>_<Field>_DQ[$bit$]
DDR1_DQ50,V0,training,lane_never_pass,C4,82,1,-,-,1,-,Token1,{TX|RX}_MDFI_<Die>_<Field>_DQ[$bit$]
DDR1_DQ50,V0,training,lane_never_pass,C5,73,1,-,-,1,-,Token1,{TX|RX}_MDFI_<Die>_<Field>_DQ[$bit+2$]
DDR1_DQ50,V0,rx_vref,fsm_status,state_fsm_busy_trigger,1,0,-,-,1,-,Token1,-
DDR1_DQ50,V0,rx_vref,fsm_status,state_fsm_st_trigger,1,0,-,-,0,-,Token1,-
DDR1_DQ50,V0,rx_vref,fsm_status,state_fsm_busy_stop,1,0,-,-,0,-,Token1,-
DDR1_DQ50,V0,rx_vref,fsm_status,state_idle_st_stop,1,0,-,-,1,-,Token1,-
DDR1_DQ50,V0,rx_vref,tx_rcomp,itx_up_binb,8,0,-256,256,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,tx_dcc,dca_setting,6,0,-64,64,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,tx_dcc,dcs_setting,10,0,-1024,1024,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c0_irx_vref_code_e,7,0,-128,128,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c0_irx_vref_code_o,7,0,-128,128,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c1_irx_vref_code_e,7,0,-128,128,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c1_irx_vref_code_o,7,0,-128,128,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c0_irx_vref_code_valid_e,1,0,-2,2,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c0_irx_vref_code_valid_o,1,0,-2,2,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c1_irx_vref_code_valid_e,1,0,-2,2,-,-,Token1,-
DDR1_DQ50,V0,rx_vref,rx_vref,c1_irx_vref_code_valid_o,1,0,-2,2,-,-,Token2,-
DDR1_DQ50,V1,training,external_dcc,dcactrl2tap,6,0,-64,64,-,-,Token2,-
DDR1_DQ50,V1,training,external_dcc,dcamodsel,3,0,-8,8,-,-,Token2,-
DDR1_DQ50,V1,training,external_dcc,dcsintfrz,1,0,-2,2,-,-,Token2,-
DDR1_DQ50,V1,training,external_dcc,delayout,10,0,-1024,1024,-,-,Token2,-
DDR1_DQ50,V1,training,external_dcc,clkdft,1,0,-256,256,-,-,Token2,-
