Pin,Field,Size
DDR1_DQ50,PCS_reg_rcomp_grc_5_0,6
DDR1_DQ50,PCS_reg_rcomp_grc_ovrd_en_6_6,1
DDR1_DQ50,Offset,1
DDR1_DQ50,PCS_reserved_7_7,1
DDR1_DQ50,PCS_reg_rxtermrcompcode_5_0,6
DDR1_DQ50,PCS_ovrden_rxtermcompcode_6_6,1
DDR1_DQ50,PCS_reg_rxtermen_7_7,1
DDR1_DQ50,PCS_reg_rxvgarcompcode_5_0,6
DDR1_DQ50,PCS_reg_rxvgarcompcode_ovrd_en_6_6,1
DDR1_DQ50,PCS_reserved_7_7,1
DDR1_DQ50,PCS_reg_txcompcode_5_0,6
DDR1_DQ50,PCS_reg_txcompcode_ovrd_en_6_6,1
DDR1_DQ50,PCS_reserved_7_7,1
DDR1_DQ50,PCS_reg_i_txcmnmode_dis_0_0,1
DDR1_DQ50,PLL_equation,0
DDR1_DQ50,PCS_reg_txelectidle_1_1,1
DDR1_DQ50,PCS_reg_rxlfpsen_2_2,1
DDR1_DQ50,PCS_reg_txdetrxlpbk_3_3,1
DDR1_DQ50,PCS_reg_powerdown_6_4,3
DDR1_DQ50,PCS_reg_powerdown_override_7_7,1
DDR1_DQ50,PCS_regRX_stagger_mask_4_0,5
DDR1_DQ50,PCS_o_deskewen_5_5,1
DDR1_DQ50,PCS_reg_sqdiginten_6_6,1
DDR1_DQ50,PCS_reg_sqdiginten_override_7_7,1
DDR1_DQ50,PCS_reg_lanestagger_strap_4_0,5
DDR1_DQ50,PCS_reg_lanestagger_strap_ovrd_5_5,1
DDR1_DQ50,PCS_reg_lanestagger_by_group_6_6,1
DDR1_DQ50,PCS_regTX_data_valid_ovrd_7_7,1
DDR1_DQ50,PCS_regTX_stagger_mask_4_0,5
DDR1_DQ50,PCS_regTX_stagger_mult_7_5,3
